country,pop1,pop2,pop3,pop1PC,pop2PC,pop3PC,pcEN,pcES,pcFR,motivSchool,motivWork,motivTravel,motivBrain,motivFamily,motivCulture,motivOther,ui1,ui2,ui1PC,ui2PC,covidPop1,covidPop2,covidPop3,covidSchool,covidWork,covidTravel,covidBrain,covidFamily,covidCulture,covidOther
Afghanistan,English,Spanish,German,0.189241782,0.145458336,0.12224616,0.189241782,0.145458336,0.103968309,0.197235308,0.147038381,0.173913043,0.127963549,0.136458414,0.09128118,0.126110124,English,Arabic,0.597018556,0.052783376,English,Turkish,Spanish,0.170831209,0.162672106,0.159102499,0.139214686,0.134115247,0.092809791,0.141254462
Albania,German,English,Italian,0.326755237,0.131411085,0.110146755,0.131411085,0.09388738,0.105125636,0.25540748,0.172097404,0.098427761,0.136570844,0.117243465,0.109370639,0.110882408,English,Italian,0.611822257,0.061384794,German,English,Italian,0.22469814,0.164326061,0.096854433,0.154946365,0.113333679,0.136135151,0.109706172
Algeria,English,French,Spanish,0.523004479,0.196335079,0.083244743,0.523004479,0.083244743,0.196335079,0.233933997,0.099851778,0.127689089,0.139234084,0.169958473,0.136526067,0.092806512,French,Arabic,0.388050757,0.362529465,English,French,Spanish,0.210972252,0.100814646,0.139096733,0.139136807,0.162328183,0.150208671,0.097442709
Andorra,English,French,Spanish,0.402067484,0.171805045,0.111345685,0.402067484,0.111345685,0.171805045,0.212434555,0.209554974,0.196073298,0.107198953,0.073691099,0.110732984,0.090314136,Spanish,English,0.541331489,0.172059841,English,French,Catalan,0.207935342,0.235855988,0.146216018,0.123438648,0.072740632,0.119030125,0.094783248
Angola,English,French,Spanish,0.632058288,0.121748634,0.092082574,0.632058288,0.092082574,0.121748634,0.327736789,0.194358266,0.10209349,0.141277994,0.0957322,0.049899627,0.088901635,Portuguese,English,0.692119004,0.100267152,English,French,Spanish,0.334084688,0.19449364,0.088391563,0.144743198,0.090645629,0.057800676,0.089840605
Antigua-Barbuda,Spanish,French,English,0.442975403,0.220177476,0.10297183,0.10297183,0.442975403,0.220177476,0.25261664,0.136597481,0.132517296,0.184850098,0.118857548,0.059251375,0.115309562,English,Spanish,0.713298791,0.083378,Spanish,French,English,0.251041667,0.1375,0.111458333,0.201041667,0.122916667,0.06875,0.107291667
Argentina,English,Italian,French,0.523448131,0.125103976,0.092797999,0.523448131,0.023936274,0.092797999,0.240940923,0.130373661,0.171991117,0.172748651,0.083196016,0.110628383,0.090121249,Spanish,English,0.684607712,0.058451613,English,Italian,French,0.253860967,0.119345929,0.148123991,0.192066382,0.078724543,0.121457993,0.086420196
Armenia,English,French,Spanish,0.609012868,0.082444952,0.072345147,0.609012868,0.072345147,0.082444952,0.280060346,0.132795208,0.122322677,0.158079045,0.1176205,0.093592045,0.095530179,Russian,Arabic,0.431541458,0.234293998,English,French,Spanish,0.26537418,0.135484965,0.132489261,0.160015826,0.11587158,0.08783631,0.102927877
Australia,Spanish,French,Japanese,0.171730536,0.161291536,0.104506219,0.054439675,0.171730536,0.161291536,0.20112588,0.058630944,0.164098139,0.187894266,0.131544707,0.10959076,0.147115305,English,Chinese,0.64536503,0.012039241,Spanish,French,Italian,0.237208218,0.051123143,0.135001517,0.204395807,0.122945376,0.108395315,0.140930623
Austria,English,Spanish,German,0.271093795,0.171050272,0.136780229,0.271093795,0.171050272,0.115670965,0.212203714,0.129514222,0.199716455,0.160996325,0.11190722,0.067509554,0.11815251,English,German,0.363434241,0.335522776,English,Spanish,French,0.218896182,0.125136359,0.175224184,0.180216326,0.108144587,0.070074882,0.122307479
